h,factor,decile,mean_fwd_ret,excess_ret,n,median_mcap,median_talent,median_energy
50,RS,7,0.04993993670293387,0.025536606207182146,20.0,2123286636411.4167,0.022146464646464647,2.57905083529821
50,RS,8,0.03799281437113908,0.013589483875387349,20.0,1752644933273.1113,0.02666666666666667,3.3262314142694582
50,RS,9,0.055341030677286775,0.03093770018153504,20.0,1664450133715.085,0.031237373737373737,4.544354860868179
50,RS,10,0.032571280006523796,0.008167949510772068,20.0,1395892384045.946,0.04871212121212121,8.53022285627356
50,주가위치,1,0.010022939078412948,-0.014380391417338781,20.0,4361891196906.376,0.010025252525252526,0.8576509175089443
50,주가위치,2,0.023292463240707852,-0.0011108672550438755,20.0,3253791131972.4854,0.016742424242424243,1.21764619996617
50,주가위치,3,0.024030624495721447,-0.00037270600003028344,20.0,2415884678860.11,0.02078282828282828,1.9131389494065012
50,주가위치,4,0.01776938281721829,-0.006633947678533438,20.0,2229270710923.197,0.021136363636363637,2.1358169757826437
50,주가위치,5,-0.004940375559688165,-0.029343706055439896,20.0,1202113392745.8994,0.02234848484848485,5.824417806433781
50,주가위치,6,0.00913623099083099,-0.015267099504920738,20.0,750061961644.0057,0.025126262626262625,3.863418177667544
50,주가위치,7,0.031008231956357754,0.006604901460606024,20.0,2018352218834.786,0.025025252525252523,3.321769385179881
50,주가위치,8,0.026224814783314076,0.0018214842875623489,20.0,2046807923835.9438,0.023282828282828284,4.032264673070127
50,주가위치,9,0.04852169207189344,0.024118361576141705,20.0,2546783734371.21,0.022373737373737376,3.874728352075369
50,주가위치,10,0.05896730108274865,0.034563970586996916,20.0,2984702077777.624,0.022424242424242426,3.7561391261768913
50,talent,1,0.00962536425410719,-0.014777966241644541,20.0,3459097687874.3145,0.00553030303030303,2.281567802380363
50,talent,2,0.03841559795492842,0.014012267459176685,20.0,15558065320465.564,0.002373737373737374,0.9625058882761762
50,talent,3,0.043062202399593304,0.018658871903841575,20.0,6903549357972.678,0.005,1.147529369863033
50,talent,4,0.01987709240471825,-0.004526238091033477,20.0,4458270197823.534,0.014090909090909091,2.3173751886838017
50,talent,5,0.029715603020183542,0.0053122725244318155,20.0,4037407492537.2393,0.019393939393939394,2.928636518515186
50,talent,6,0.026853060672817387,0.0024497301770656566,20.0,2428625877208.476,0.025353535353535354,3.593666326589774
50,talent,7,0.035719844795693595,0.011316514299941866,20.0,1833560694623.1,0.029823232323232324,3.559013463198323
50,talent,8,0.03697720026805913,0.0125738697723074,20.0,1586017702450.5317,0.0380050505050505,4.521960225488204
50,talent,9,0.010719991137569006,-0.01368333935818272,20.0,1006692145688.5831,0.05376262626262626,5.612417612322159
50,talent,10,-0.0069326519501525345,-0.03133598244590426,20.0,826335005298.5052,0.0807070707070707,7.5463022996305895
